No,,Ligação,,,Transporte de passageiros,
"",,Denominação,ida pass,,volta pass pass total,pass.km
"",CENTRO-OESTE,,358.046,,376.954 735.000,279.930.428
"",,,,,,
290,ITAJAI (SC) - JOINVILLE (SC),19.941,19.088,39.029,4.004.375
291,JOINVILLE (SC) - BLUMENAU (SC),2.984,4.874,7.858,904.973
292,JOINVILLE (SC) - CASCAVEL (PR),7.839,8.623,16.462,10.819.211
293,JOINVILLE (SC) - FLORIANOPOLIS (SC),17.208,20.450,37.658,7.136.191
294,JOINVILLE (SC) - FOZ DO IGUACU (PR),4.614,8.434,13.048,10.259.642
295,JOINVILLE (SC) - PASSO FUNDO (RS),133,90,223,125.081
296,LAGES (SC) - CASCAVEL (PR),841,447,1.288,847.033
297,LAGES (SC) - FOZ DO IGUACU (PR),1.100,991,2.091,1.589.725
298,LAGES (SC) - PASSO FUNDO (RS),163,275,438,125.093
299,LONDRINA (PR) - FLORIANOPOLIS (SC),2.428,2.127,4.555,3.321.962
300,LONDRINA (PR) - JOINVILLE (SC),1.710,1.539,3.249,1.768.106
301,LONDRINA (PR) - LAGES (SC),537,581,1.118,899.990
302,MARINGA (PR) - FLORIANOPOLIS (SC),783,747,1.530,1.260.720
303,MARINGA (PR) - JOINVILLE (SC),739,725,1.464,935.350
304,PASSO FUNDO (RS) - CASCAVEL (PR),6.180,7.051,13.231,7.591.709
305,PASSO FUNDO (RS) - CHAPECO (SC),7.219,8.489,15.708,2.792.894
306,PASSO FUNDO (RS) - FOZ DO IGUACU (PR),1.865,1.868,3.733,2.512.912
