UF,Cidade1,Cidade2,Estado1,Estado2,Ida,Volta,Total,pass.km
273,CRICIUMA,SC,LONDRINA,PR,4,9,13,11809
274,CRICIUMA,SC,PONTA GROSSA,PR,2,7,9,5601
275,CURITIBA,PR,BLUMENAU,SC,54508,55358,109866,25455987
276,CURITIBA,PR,CHAPECO,SC,14578,13270,27848,13402184
277,CURITIBA,PR,CRICIUMA,SC,7660,9187,16847,8454884
278,CURITIBA,PR,FLORIANOPOLIS,SC,95981,95288,191269,60632273
279,CURITIBA,PR,ITAJAI,SC,56700,50366,107066,24635887
280,CURITIBA,PR,JOINVILLE,SC,173191,180188,353379,46692642
281,CURITIBA,PR,LAGES,SC,25522,17713,43235,15724570
282,CURITIBA,PR,PASSO FUNDO,RS,5901,5881,11782,6485021
283,CURITIBA,PR,PORTO ALEGRE,RS,40217,39047,79264,60665549
284,FLORIANOPOLIS,SC,CASCAVEL,PR,6701,5583,12284,10480093
285,FLORIANOPOLIS,SC,CRICIUMA,SC,5181,5603,10784,2265357
286,FLORIANOPOLIS,SC,FOZ DO IGUACU,PR,9866,9690,19556,19090642
287,FLORIANOPOLIS,SC,PASSO FUNDO,RS,1662,1367,3029,1933108
288,ITAJAI,SC,CASCAVEL,PR,2,1,3,2486
289,ITAJAI,SC,FLORIANOPOLIS,SC,22006,20397,42403,4405672
290,ITAJAI,SC,JOINVILLE,SC,19941,19088,39029,4004375
291,JOINVILLE,SC,BLUMENAU,SC,2984,4874,7858,904973
292,JOINVILLE,SC,CASCAVEL,PR,7839,8623,16462,10819211
293,JOINVILLE,SC,FLORIANOPOLIS,SC,17208,20450,37658,7136191
294,JOINVILLE,SC,FOZ DO IGUACU,PR,4614,8434,13048,10259642
295,JOINVILLE,SC,PASSO FUNDO,RS,133,90,223,125081
296,LAGES,SC,CASCAVEL,PR,841,447,1288,847033
297,LAGES,SC,FOZ DO IGUACU,PR,1100,991,2091,1589725
298,LAGES,SC,PASSO FUNDO,RS,163,275,438,125093
299,LONDRINA,PR,FLORIANOPOLIS,SC,2428,2127,4555,3321962
300,LONDRINA,PR,JOINVILLE,SC,1710,1539,3249,1768106
301,LONDRINA,PR,LAGES,SC,537,581,1118,899990
302,MARINGA,PR,FLORIANOPOLIS,SC,783,747,1530,1260720
303,MARINGA,PR,JOINVILLE,SC,739,725,1464,935350
304,PASSO FUNDO,RS,CASCAVEL,PR,6180,7051,13231,7591709
305,PASSO FUNDO,RS,CHAPECO,SC,7219,8489,15708,2792894
306,PASSO FUNDO,RS,FOZ DO IGUACU,PR,1865,1868,3733,2512912
307,PASSO FUNDO,RS,PONTA GROSSA,PR,284,86,370,197469
308,PONTA GROSSA,PR,FLORIANOPOLIS,SC,1250,1190,2440,1081998
309,PONTA GROSSA,PR,JOINVILLE,SC,999,1501,2500,645765
310,PORTO ALEGRE,RS,BLUMENAU,SC,8869,8990,17859,10569551
311,PORTO ALEGRE,RS,CASCAVEL,PR,11270,10698,21968,19012663
312,PORTO ALEGRE,RS,CHAPECO,SC,15120,13566,28686,13594295
313,PORTO ALEGRE,RS,CRICIUMA,SC,40777,44282,85059,25228499
314,PORTO ALEGRE,RS,FLORIANOPOLIS,SC,111315,116666,227981,107383550
315,PORTO ALEGRE,RS,FOZ DO IGUACU,PR,7781,8865,16646,15914952
316,PORTO ALEGRE,RS,ITAJAI,SC,6791,7223,14014,7814206
317,PORTO ALEGRE,RS,JOINVILLE,SC,16411,15504,31915,21180198
318,PORTO ALEGRE,RS,LAGES,SC,7457,8580,16037,5707568
319,PORTO ALEGRE,RS,LONDRINA,PR,2090,2003,4093,4774792
320,PORTO ALEGRE,RS,MARINGA,PR,826,808,1634,2136062
321,PORTO ALEGRE,RS,PASSO FUNDO,RS,287,50,337,97562
322,PORTO ALEGRE,RS,PONTA GROSSA,PR,288,310,598,554781
